,Mouse 1,Mouse 2,Mouse 3,Mouse 4,Mouse 5,Mouse 6,Mouse 7,Mouse 8
Bacteroides salanitronis,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Bacteroides sartorii,2.0,,,,,,,2.0
Bacteroides sp. 3_1_19,,,,,,,2.0,
Bacteroides sp. 4_1_36,,,,,,,2.0,
Bacteroides sp. 4_3_47FAA,2.0,2.0,2.0,2.0,2.0,,2.0,
Bacteroides sp. AR29,,,2.0,2.0,,,,
Bacteroides sp. D20,,,,,,,,
Bacteroides sp. D8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Bacteroides sp. SLC1-38,,,,,2.0,,,2.0
Bacteroides sp. Smarlab 3302398,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Bacteroides sp. Tilapia9,,2.0,,,,,,
Bacteroides stercorirosoris,,,,,,,,
Bacteroides stercoris,,2.0,2.0,,2.0,,,
Bacteroides thetaiotaomicron,,,,,,,,
Bacteroides uniformis,1.4704431472674104,1.1838014411185018,1.1041494324762016,1.3609506859849334,0.5993728066210936,0.575142677308905,0.6233769115553172,0.8092962954290999
Bacteroides vulgatus,1.1843372949725992,1.0759059219519251,1.0243063024306305,0.9141594073034572,1.479475661955007,1.2750280248463957,0.9969301181459365,1.222820676339744
Bacteroides xylanisolvens,,,,,,,,
Bacteroides xylanolyticus,1.8906229522981466,1.5311572700296738,2.0,2.0,2.0,1.8437717834435265,2.0,2.0
Barnesiella intestinihominis,0.29101925639173,0.3214368394918575,0.18939731714600783,0.18333633095716484,0.23354143424024285,0.34368322310132665,0.18823674636768314,0.28427303992806413
Barnesiella viscericola,0.3396493881618338,0.2779290747788879,0.21477927010944756,0.19505317941035602,0.28158289648392276,0.24402418154020758,0.17780262918168208,0.2368444203848868
Bauldia litoralis,,,,,,,,
Bifidobacterium adolescentis,,2.0,2.0,,2.0,,,
Bifidobacterium angulatum,2.0,,,,,,,
Bifidobacterium animalis,,,,,2.0,,,
Bifidobacterium bifidum,,,,,,,,
Bifidobacterium breve,,,,,,2.0,,
Bifidobacterium callitrichos,,,,,,,,
Bifidobacterium catenulatum,2.0,,,,,,,
Bifidobacterium coryneforme,,,,,,,,
Bifidobacterium kashiwanohense,,2.0,,,2.0,,,
Bifidobacterium longum,,2.0,2.0,2.0,2.0,2.0,2.0,
Bifidobacterium merycicum,,,,,,,,
Bifidobacterium pseudocatenulatum,2.0,2.0,,2.0,1.5841682127396415,2.0,2.0,2.0
Bifidobacterium pseudolongum,1.514579089221896,1.7086674220856293,1.7293723483987233,1.7878057788839001,1.7175713627751013,1.8751514737464756,1.7499636373710858,1.6887892322217457
Bifidobacterium reuteri,,,,,,,,
Bifidobacterium sp. S-10,,,2.0,,,2.0,2.0,
Bifidobacterium sp. h12,,2.0,,,2.0,,,
Bilophila sp. 4_1_30,1.41245530796668,2.0,2.0,,2.0,,2.0,2.0
Bilophila wadsworthia,,,,,2.0,,,
Blastocatella fastidiosa,,,,,,,,
Blautia coccoides,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Blautia glucerasea,2.0,,,,,,,
Blautia hansenii,2.0,,,2.0,,2.0,,2.0
Blautia hydrogenotrophica,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Blautia luti,,,,,,,,
Blautia producta,1.906250543861013,1.5816883943831894,1.744993946167459,1.647286556899183,1.4552742183495642,1.1873860360143396,1.6143978021466314,1.7408771845274986
Blautia sp. Ser8,2.0,2.0,2.0,2.0,2.0,,2.0,2.0
Blautia sp. canine oral taxon 143,1.9040624196242113,1.8697568880036417,1.7086725769176756,2.0,1.7325126129268376,1.7831971644017461,2.0,1.7926880735445663
Blautia sp. canine oral taxon 337,2.0,2.0,,2.0,2.0,,,
Bosea sp. CRIB-12,,,,,,,,
Brachybacterium paraconglomeratum,,,,,,,,
Brachybacterium sacelli,,,,,,,,
Brachybacterium sp. DS-11,,,,,,,,
Brachyspira aalborgi,,,,,,,,
Bradyrhizobium sp. BTAi1,,,,,,,,
Bradyrhizobium sp. CCBAU 7128301,,,,,,,,
Bradyrhizobium sp. MAFF 211645,,,,,,,,
Brevibacillus choshinensis,,,,,,,,
Brevibacillus formosus,,,,,,,,
Brevibacterium sp. L8,,,,,,,,
Brevibacterium sp. p19(2011),,,,,,,,
Brevundimonas sp. BAL3,,,,,,,,
Bulleidia extructa,,2.0,,,2.0,,,
Burkholderia multivorans,,,2.0,,,,,
Burkholderia sp. IMER-A1-18,,,,,,,,
Burkholderia sp. MG-2011-32-AB,,,,,,,,
Burkholderia sp. YI019A,,,,,,,,
Butyricicoccus pullicaecorum,1.4598052756321724,1.72451522771724,1.788020773654497,1.7564048270634418,1.5820783439854382,1.8408109912637884,1.3632938643702908,1.4788849219228974
Butyricimonas sp. 180-3,,2.0,2.0,,,,,
Butyricimonas sp. 214-4,2.0,2.0,,2.0,2.0,,2.0,2.0
Butyricimonas sp. GD2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Butyricimonas synergistica,,,,,,,,
Butyricimonas virosa,2.0,,2.0,,2.0,,,
Butyrivibrio crossotus,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Butyrivibrio fibrisolvens,1.8890528270341278,2.0,1.7947459575351417,1.9593063254314582,1.9177779490737172,1.7859458207918497,2.0,2.0
Butyrivibrio hungatei,1.70445195170084,2.0,1.8617224793391771,1.8303507377319355,1.5785631541510017,1.4842803476017394,1.8525355059259934,1.6496468235507997
Butyrivibrio proteoclasticus,1.5607879766746455,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Butyrivibrio sp. 3,2.0,2.0,,2.0,2.0,,2.0,2.0
Butyrivibrio sp. G52,2.0,,,,,,,
Butyrivibrio sp. INlla4,,,,,,,,
Butyrivibrio sp. K3,2.0,,,,,,,
Caldanaerobacter sp. TC18,2.0,,2.0,,2.0,,2.0,
Caldicellulosiruptor lactoaceticus,,,,,,,,
Caldicellulosiruptor saccharolyticus,,,,,,,2.0,
Caldicellulosiruptor sp. DIB107C,,,,,,,,
Caldicellulosiruptor sp. Rt8B.4,,,,,,,,
Caldimonas hydrothermale,2.0,,,,,,,
Calidifontibacter indicus,,,,,,,,
Caloramator mitchellensis,,,,,,,,
Calothrix sp. PCC 7507,,,,,,,,
Caminicella sporogenes,,,,,,,,
Campylobacter avium,,,,,,,,
Campylobacter showae,,,,,,,,
Candidatus Aquiluna sp. IMCC13023,,,,,,,,
Candidatus Arthromitus sp. SFB-2,,,,2.0,,,,
Candidatus Arthromitus sp. SFB-mouse,1.3145959774663905,1.378056800335858,1.3286755167317188,1.5716693614590644,1.075255250138,1.3625849380670338,1.235361471343894,1.4383569585554015
Candidatus Lumbricincola sp. Lr-C2,,,,,,,,
Candidatus Lumbricincola sp. Lr-G2,2.0,2.0,2.0,2.0,2.0,,2.0,2.0
Candidatus Prevotella conceptionensis,0.4734064134828939,0.4563625504094055,0.3736525061966619,0.4739693625590335,0.27479321805464607,0.41376909352017077,0.32768323777819675,0.38166351970685164
Candidatus Puniceispirillum marinum,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Candidatus Rhodoluna lacicola,,,,,,,,
Candidatus Thiobios zoothamnicoli,,,,,,,,
Capnocytophaga granulosa,,,,,,,,
Cardiobacterium hominis,,,,,,,,
Cardiobacterium sp. canine oral taxon 238,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Carnobacterium sp. LMG 26642,,,,,,,,
Catabacter hongkongensis,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Catenibacterium mitsuokai,,,2.0,,,,,
Catonella FL037,,,,,,,,
Catonella GI038,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Catonella GQ106843,,,,,,,,
Cellulosilyticum lentocellum,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Chelatococcus sp. P-117,,,,,,,,
Chitinophaga sp. WW1(2011),,,,,,,,
Chondromyces pediculatus,,,,,,,,
Christensenella minuta,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Chryseobacterium sp. S5,,,,,,,,
Chryseobacterium ureilyticum,,,,,,,,
Citrobacter amalonaticus,,,,,,,,
Citrobacter freundii,,,,,,,,
Citromicrobium bathyomarinum,,,,,,,,
Clavibacter michiganensis,,,,,,,,
Clavibacter sp. J07,2.0,2.0,2.0,2.0,2.0,,2.0,2.0
Cloacibacterium rupense,,,,,,,,
Clostridiales 303A04,1.226840777117985,1.2195945417884546,1.1615008906510376,1.2671568907745618,1.391690328562322,1.3701760806799235,2.0,1.3065512539277884
Clostridiales CK047,1.5498193823114281,1.345494616375248,1.4296595310907247,1.3535266794176204,1.5313082249557375,1.4643982356647764,1.3225571947829804,1.3930780805885306
Clostridiales FX033,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Clostridiales JH012,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Clostridiales MCE7 107,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Clostridium aff. innocuum CM970,,,,,,,,
Clostridium algidixylanolyticum,,,2.0,,,,,
Clostridium aminophilum,1.6645622521682193,1.699054872801006,1.557397497741599,1.3833317498491875,1.3737951579651797,1.634870663074876,1.5177136769379562,1.6104894173927298
Clostridium amygdalinum,1.6240042387523337,2.0,1.7589326386756516,2.0,1.8118414911561829,1.4719076052516493,1.6323965866439265,1.7166579095603933
Clostridium asparagiforme,2.0,1.8539738283856024,2.0,2.0,2.0,2.0,2.0,2.0
Clostridium beijerinckii,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Clostridium bolteae,1.402403399921176,1.4213119942131198,1.4093453509466225,1.649757613169929,1.529669109845084,1.644202882983523,1.7787640468199504,1.7542976654027311
Clostridium botulinum,,,,,,2.0,,
Clostridium butyricum,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Clostridium cellulolyticum,,2.0,2.0,2.0,,,,
Clostridium chauvoei,,,,,,,,
Clostridium citroniae,2.0,,2.0,,2.0,,,2.0
Clostridium clostridioforme,1.6837582180498503,1.6463933621243207,1.7538807392968425,1.4896175446350326,1.487966910222517,1.3941433860652983,1.7702434625788996,1.5458052678073853
Clostridium colinum,2.0,2.0,2.0,2.0,2.0,1.6189951763177022,2.0,2.0
Clostridium cylindrosporum,,,,,,,,
Clostridium disporicum,1.9192949482947408,1.894821918981756,1.4623717944313626,1.6560515906865898,1.4985531253065179,1.624469130698118,1.6526675699980413,1.3218020099764882
Clostridium felsineum,,,,,,,,
Clostridium fimetarium,,,,,,,,2.0
Clostridium fusiformis,1.3141868075352532,1.1768503638248968,1.2989567458441356,1.131199192976566,1.2097834543416086,1.3094705422935509,1.2073613854798926,1.2277542480181314
Clostridium gasigenes,,,2.0,2.0,2.0,,2.0,2.0
Clostridium glycyrrhizinilyticum,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Clostridium hathewayi,1.3086108669459227,1.2588760679225064,1.0809542885326533,1.0421590457185765,1.0306472954481796,1.2919228979305812,1.3364652676729014,1.3675440624307298
Clostridium herbivorans,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Clostridium hungatei,2.0,2.0,0.4,,,,,
Clostridium indolis,1.3004910939882026,1.2882526658552,1.295123161415861,1.5248593686310004,1.3209822291473543,1.6666029563969322,1.4779590315518492,1.1887955064716764
Clostridium islandicum,,,,,,,,
Clostridium jejuense,1.9695837596128423,1.6444726132497165,1.8227071402802997,2.0,1.7960163864952678,2.0,1.82679438306232,1.8843109843016033
Clostridium lactatifermentans,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Clostridium lavalense,2.0,,,2.0,2.0,,,
Clostridium leptum,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Clostridium mayombei,,2.0,,,,,,
Clostridium metallolevans,,,,,,,,
Clostridium methoxybenzovorans,,2.0,,,,,,
Clostridium methylpentosum,1.6450024766868399,1.7531328502066064,1.6520900289892164,2.0,1.562876343867576,2.0,1.475400123299626,1.5277142197014297
Clostridium nexile,,,,,,,,
Clostridium nitrophenolicum,,,,,,,,
Clostridium oroticum,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Clostridium papyrosolvens,,,,,2.0,2.0,,
Clostridium paraputrificum,,,2.0,2.0,2.0,,2.0,
Clostridium perfringens,2.0,,,,2.0,,,
Clostridium phytofermentans,1.8238769781629762,1.7011170205099384,1.7722309975525503,1.8176300731489166,1.74808432902923,1.5264052979535756,1.6384548677211186,1.7733971123009784
Clostridium piliforme,2.0,2.0,2.0,2.0,2.0,,2.0,2.0
Clostridium polysaccharolyticum,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Clostridium populeti,1.886589299072489,2.0,2.0,2.0,1.927516602347571,2.0,1.8518770210828261,1.7442170893668791
Clostridium propionicum,2.0,2.0,2.0,2.0,,,2.0,
Clostridium puniceum,,,,,,,,
Clostridium saccharogumia,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Clostridium saccharolyticum,1.5535209754450485,1.7495287596343885,1.7621376682541525,1.7679118166622028,1.2910007101230327,1.5085116285629663,1.3750536376048361,1.3417315041376845
Clostridium saccharoperbutylacetonicum,,2.0,,,,,,
Clostridium scindens,1.418362294780376,1.6410205511691953,1.4598138549411908,1.576441102756892,1.2835223923355352,1.4444438844170702,1.6788876138972373,1.3098746777317358
Clostridium septicum,,,,,2.0,,2.0,2.0
Clostridium sp.,1.7375518171790238,2.0,1.5551390320688372,1.4447545531501176,1.8390279358049983,1.6560959732167768,2.0,2.0
Clostridium sp. 01,,,,,,,,
Clostridium sp. 232.1,,,,,,,,
Clostridium sp. 2ER371.1,,,,,,,,
Clostridium sp. 6-44,1.0485972949800484,1.245994256616446,1.1755130539150205,0.9062954598913151,0.6794555656720781,0.957653377401363,1.1624454906606485,1.1412163157119717
Clostridium sp. 6-62,,,,,,,,
Clostridium sp. 619,1.0901545348118575,1.295928517186953,0.9987614504518869,1.0689662138719436,0.8690825087059959,1.1962912534659247,1.0149713544481678,0.9900090060258121
Clostridium sp. 7_2_43FAA,,,,,,,,
Clostridium sp. 7_3_54FAA,2.0,,2.0,2.0,2.0,2.0,2.0,2.0
Clostridium sp. 826,1.7615003851909574,1.3922861251674299,1.4345290687400605,1.276002999485163,1.4614411045591833,1.8073098394975573,1.4240500592583583,1.436053000212901
Clostridium sp. A9,1.6752043991028152,2.0,2.0,2.0,2.0,1.8472340242728162,2.0,1.888023166846567
Clostridium sp. AP4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Clostridium sp. AP81,,,,0.0,,,,
Clostridium sp. ASF356,1.3656497049704743,1.6205228734691366,1.5520425752435831,1.421633448289056,1.515720177064811,1.5575830871209224,1.4663000079325208,1.6163290902877356
Clostridium sp. ASF502,1.4177191774586206,1.3203769180247538,1.5544054887881704,1.4007846444683374,1.3807314583681451,1.6439275080506195,1.3980392679355953,1.6213651472404855
Clostridium sp. BG-C36,,,,,2.0,,,
Clostridium sp. BNL1100,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Clostridium sp. BS-1,1.5325684405147435,2.0,2.0,2.0,1.3176634743451519,1.655032899640127,2.0,1.4732178423067843
Clostridium sp. C01-2409,,,,,,,,
Clostridium sp. CA6,,,,,,,2.0,2.0
Clostridium sp. CRIB,1.8707029245767062,1.9193995162387132,1.3374134655715424,1.6873791752853,1.3792971627214168,1.8496721222412436,1.3466052794223564,1.3748166288194203
Clostridium sp. CYP2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Clostridium sp. Clone-1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Clostridium sp. Clone-16,1.280976199577949,1.3894364246875135,1.2583669827375088,1.4167018284566215,1.22517156985855,1.0831699514889193,1.0999573182843079,1.283225535763894
Clostridium sp. Clone-17,1.602030456852792,2.0,1.6521453230313996,1.5396663261831791,1.5802453532185812,1.4185534591194966,2.0,1.6051348694843361
Clostridium sp. Clone-24,2.0,,2.0,2.0,2.0,2.0,,2.0
Clostridium sp. Clone-25,2.0,,,,0.0,2.0,,
Clostridium sp. Clone-26,1.5427678568509966,1.5747867648089433,1.6515796013955928,1.5933845614471762,1.4263971522370784,1.4122549471274326,1.6956693008336619,1.716418394119696
Clostridium sp. Clone-27,1.3554157177273884,1.6981674833865297,1.349472898613075,1.5543518359288004,1.307575144329757,1.6773418875317612,1.5272937932150794,1.3372920770712187
Clostridium sp. Clone-3,1.5245544554455437,2.0,2.0,2.0,1.3491717091558377,1.713324044081721,2.0,1.3807045677926644
Clostridium sp. Clone-30,2.0,2.0,2.0,2.0,1.8873131825671083,2.0,2.0,2.0
Clostridium sp. Clone-40,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Clostridium sp. Clone-44,1.5155432025006284,1.6481174445382192,1.7243903470185236,1.651505477551258,1.6812514802421827,1.814672665503627,1.736472891139505,1.6222427877083163
Clostridium sp. Clone-45,1.9355449473281365,1.8370941533022729,2.0,2.0,2.0,2.0,2.0,1.8823606300241817
Clostridium sp. Clone-46,1.6087804346641967,1.7132301357704436,1.6742280175706805,1.7721964583620307,1.6985414258956681,1.7479158256653544,1.6926985868299396,1.5916493556272202
Clostridium sp. Clone-47,1.4412307076932864,1.7327014036315196,1.5702542971863394,1.8278345063260246,1.688086803649886,1.5106331561140647,1.7783287659315323,1.7840129610986624
Clostridium sp. Clone-49,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Clostridium sp. Clone-7,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Clostridium sp. Clone-9,1.1049746715246451,1.4111053683892374,1.3275293487623303,1.4201017444676713,1.3668035700398715,1.3604521197491402,1.2905567735966241,1.2427383371035627
Clostridium sp. Culture Jar-13,1.2646715938465443,1.7835903941843594,1.6946608946608945,1.5144576878326748,1.4116585617740351,1.4611066559743384,1.5871603265295493,1.6326587879157208
Clostridium sp. Culture Jar-15,1.718466796977078,1.5948213098667343,2.0,1.5549964568746384,2.0,2.0,2.0,1.614351826776676
Clostridium sp. Culture Jar-17,1.8760741634829663,2.0,1.944910000357981,2.0,1.7298925177838924,1.804836858285066,2.0,1.7161691696022081
Clostridium sp. Culture Jar-44,,,,,,,,
Clostridium sp. Culture Jar-56,1.8882292864417933,1.5733806412530835,2.0,1.7211784511784514,2.0,1.7841213202497772,2.0,1.6296305462915412
Clostridium sp. Culture Jar-8,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Clostridium sp. Culture-23,1.1868431253917242,1.4283176233751436,1.5580068796555218,1.214954571277298,1.3995959505764957,1.5546269313245724,1.2421199545830244,1.3407270230341872
Clostridium sp. Culture-27,1.2855173576957915,1.402998281144907,1.3240270126612665,1.3661126382874462,1.4853114603761575,1.2119214616155367,1.7362318772713161,1.4084872191394526
Clostridium sp. Culture-41,2.0,,,2.0,,,,2.0
Clostridium sp. Culture-46,1.5550826269894513,1.5111630841381705,1.3942899997013487,1.550572579109691,1.4093096978551336,1.6129884156688739,1.6814170730858526,1.4735209339595343
